Video ID,Comment ID,comments
8EJ3zbKTWQ8,UgwJceOq3nlorGB32KB4AaABAg,I  am  pretty  sure  Justin  was  sharing  about  how  he  was  sexually  abused  by  the  elites  in  the  past
8EJ3zbKTWQ8,UgwlA1danD7qj-6MWe14AaABAg,  Everybody  gangsta  until  you  understand  the  meaning  of  the  song    
8EJ3zbKTWQ8,Ugy3k0v9Td1dwDn2c2B4AaABAg,When  you  realize  what  this  song  is  about  you  can  t  listen  it  on  the  same  way    You  just  can  t  
8EJ3zbKTWQ8,UgzhN3ucqa17pXMTbzB4AaABAg,2010      baby    baby    baby      2015      sorry    sorry    sorry      2020      yummy    yummy    yummy  
8EJ3zbKTWQ8,UgxGNUCkfRo0lqlyACp4AaABAg,We  wish  the  end  of  the  Corona  virus  and  that  there  will  come  beautiful  days  full  of  love  and  happiness
8EJ3zbKTWQ8,Ugy5TJLolk8Fm5p36J94AaABAg,YUMMY      YUMMY            Everybody  on  My    Birthday  Been  like  Singing  This  Was  Made  For  Memories  
8EJ3zbKTWQ8,Ugz6POnitE3Kfy08eqJ4AaABAg,The  first  time  I  heard  this  song  I  thought  the  music  clip  would  be  a  bit  weird  but  when  I  watched  it    I  laughed  so  hard  that  Justin  is  so  smart  to  change  the  idea  to  foods
8EJ3zbKTWQ8,UgzdVu-Pm-3w9n9VIyN4AaABAg,Lots  love  from  india
8EJ3zbKTWQ8,Ugy4PUu76qU3GWWvWpx4AaABAg,That's  so  yummy          
8EJ3zbKTWQ8,Ugxo274Pjc2Qc1LtlhN4AaABAg,JB's  song  and  video  denounces  the  pedophilia  that  are  in  the  industry    has  many  hidden  messages  which  you  should  analyze    go  to  its  official  video  and  the  comments  in  English  that  talk  about  it      it's  actually  JB's  smartest  song  
8EJ3zbKTWQ8,UgzP7a-wl2nznA0k9594AaABAg,I  cant  listen  to  this  song  the  same  way  i  used  to  now  that  i  know  the  true  meaning
8EJ3zbKTWQ8,UgyvEL-pubhSwK-jM794AaABAg,Justin  I  don  t  knew  that    Yummy    was  your  song    I  love  it  
8EJ3zbKTWQ8,UgwLi5ikVpwRCkIQL094AaABAg,Wow  Danny  gonzalez  writes  songs  for  Justin  now  that  neat    3
8EJ3zbKTWQ8,UgxW2dTzHrgBJl4HJ7t4AaABAg,This  song  lyrics  is  so  cool
8EJ3zbKTWQ8,UgzPstj-gmr81w12vI54AaABAg,The  song  is  really  catchy  for  real    i  didn't  know  at  first  what  it  was  about    but  after  i  read  some  things    about  the  pizzagate  and  other  stuff  i  could  figure  it  out    but  damn  is  a  catchy  song
8EJ3zbKTWQ8,UgyPOmjusHY_QJLPFqh4AaABAg,Director    Let  s  just  feed  him
8EJ3zbKTWQ8,UgzduQpjxQ23juqhPFZ4AaABAg,The  only  reason  I  watch  this  was  because  my  brother  said  the  song  says      Yomie      So  i  proved  to  him
