title,videoIDS,video_description,publishedDate,likes,dislikes,views,comment
Recap of matrix norms and Levy-Desplanques theorem,WsO_s8dNfVI,"Recap of matrix norms and Levy-Desplanques theorem

Spectral norm and radius, norm of inverse of a matrix, invertability of diagonally dominant matrix",2021-06-03T15:46:59Z,24,0,633,1
"Convergent matrices, Banach lemma",PVGeabmeLDQ,"Convergent matrices, Banach lemma

Properties of spectral radius, convergent matrices and associated lemmas, Banach lemma",2021-06-03T15:17:41Z,21,0,632,2
Schur's triangularization theorem,UbDwzSnS0Y0,"Schur's triangularization theorem

(a). Recap of unitary equivalence.
(b). Schur's Triangularization theorem for complex matrices and proof.
(c). Schur's Triangularization theorem for real matrices.
(d). Properties",2021-06-02T10:40:46Z,8,0,397,0
Unitary equivalence,FHcdxzKcQUQ,"Unitary equivalence

Unitary Equivalence, Euclidean Isometry",2021-06-02T10:32:47Z,4,0,289,0
Properties of unitary matrices,K8wquZLQyCA,"Properties of unitary matrices

Properties of unitary matrices",2021-06-02T10:15:55Z,3,0,253,0
Unitary matrices,uMK1KndLy-Q,"Unitary matrices
Unitary Matrices, Proof for orthogonal vectors being linearly independent",2021-06-02T10:09:21Z,2,1,395,0
Eigenvector and principle of biorthogonality,LYCqbKah9K0,Eigenvector and principle of biorthogonality,2021-06-01T13:17:41Z,4,0,214,0
Relationship between eigenvalues of BA and AB,DtDJZEMSojA,Relationship between eigenvalues of BA and AB,2021-06-01T13:02:32Z,1,0,192,0
Diagonalization,RQCHPP1I7Oo,"Diagonalization
Similarity transform and diagonalization",2021-06-01T12:48:25Z,6,0,201,0
Similarity,t6ryEdhnwoU,"Similarity

Distinct eigen values and linear independence of eigen vectors,",2021-06-01T12:27:26Z,1,0,155,0
"Solving characteristic polynomials, eigenvectors properties",S-yu9Gw7L38,"Solving characteristic polynomials, eigenvectors properties 

Procedure to solve characteristic polynomials, eigenvectors properties",2021-06-01T12:16:53Z,8,0,426,0
The characteristic polynomial,uaqTfSm2huU,"The characteristic polynomial

Characteristic polynomials",2021-06-01T12:05:33Z,5,0,217,0
Introduction to eigenvalues and eigenvectors,mqHT80h8GnQ,"Introduction to eigenvalues and eigenvectors

Definition of eigenvalues and eigenvectors, procedure to find eigenvalues and eigenvectors",2021-06-01T11:52:16Z,8,0,365,0
Errors in solving systems of linear equations,oe-TgY48Goc,"Errors in solving systems of linear equations

Bounding the accuracy and finding relative errors of solutions to system of linear equations, proof for compatability between vector and Matrix norms",2021-06-01T11:32:55Z,4,0,178,0
Errors in inverses of matrices,uE0eUFgvn5k,"Errors in inverses of matrices

Errors in inverses of Matrices, some properties of condition number",2021-06-01T11:17:55Z,4,0,143,0
Equivalence of matrix norms and error in inverses of linear systems,hxi95z6i7j4,"Equivalence of matrix norms and error in inverses of linear systems

Unitarily invariant norms, Self-adjoint norms, Erros in calculating inverse of a matrix due to perturbation of entries",2021-06-01T10:54:39Z,2,0,127,0
Properties of spectral radius,xTPi795hK1w,"Properties of spectral radius

Proof of lemma introduced at the end of Spectral radius",2021-06-01T09:44:28Z,40,1,1037,1
Spectral radius,Am_nmqS7SPs,Spectral radius,2021-06-01T09:17:51Z,16,0,500,2
Induced norms and examples,WZifkIcENlo,Induced norms and examples,2021-06-01T09:02:59Z,65,0,1964,2
"LIVE_NPTEL Awareness workshop in association with IES College Of Technology, Bhopal, Madhya Pradesh",iwnT76rZBBQ,"Please fill this feedback form to obtain an e-participation certificate : https://tinyurl.com/NPTEL-AwarenessWorkshop-May28



LIVE _ NPTEL Awareness workshop in association with IES College Of Technology, Bhopal, Madhya Pradesh",2021-05-25T13:19:49Z,643,15,14576,7
"LIVE _ NPTEL Awareness workshop in association with Assam University, Silchar, Assam.",W8TQ40Vcen8,"Please fill this feedback form to obtain an e-participation certificate : https://tinyurl.com/NPTEL-Awareness-Workshop-May25
NPTEL Awareness workshop in association with Assam University, Silchar, Assam.",2021-05-21T16:11:46Z,354,12,8137,4
Induced norms,hgpgZb961to,"Induced norms

Induced norm: Definition, examples",2021-05-22T09:49:02Z,18,1,1483,0
Matrix norms: Properties,Z8csIEkecBo,"Matrix norms: Properties

Properties of matrix norms, examples of matrix norms",2021-05-22T09:22:23Z,13,0,744,0
Matrix norms,L2uVbIbmIJE,"Matrix norms

Introduction to matrix norms",2021-05-22T09:09:16Z,6,0,524,0
Properties and examples of dual norms,AsG6Jr09LgU,"Properties and examples of dual norms

 Properties of dual norms",2021-05-22T08:53:43Z,5,0,388,0
Dual norms,XO-AvBcgzZE,"Dual norms
Definition of dual norms",2021-05-22T08:45:35Z,6,0,446,0
Summary of equivalence of norms,TWHfGPyHyAI,"Summary of equivalence of norms

Review of equivalence of norms",2021-05-22T08:44:16Z,5,0,464,0
