Video ID,Comment ID,comments
TXakJYHe9uQ,UgzwTTa47hKDjauFdzZ4AaABAg,Oh  my  god    This  cover  is  BEAUTIFUL    My  favorite  cover  by  far    I  m  surprised  this  isn  t  viral    I  m  subbed  now  
TXakJYHe9uQ,UgyA_rTyfTn_II4X68Z4AaABAg,Kev  and  Nick      MIIIINE                me        hits  subscribe  button  so  hard  that          phone  screen  breaks    
TXakJYHe9uQ,UgysFjna__dy2GVflBd4AaABAg,  give  me  some  holy  water  for  my  ears  please          
TXakJYHe9uQ,UgxCXKfi6Mc8ApX4TT94AaABAg,best  cover
TXakJYHe9uQ,UgzOo_Icx_y2WqOkdVV4AaABAg,Immediately  subbed    it's  amazing  and  much  better  than  the  original  
TXakJYHe9uQ,Ugz4TkL8D9NuwtDJyap4AaABAg,Really  good      
TXakJYHe9uQ,UgwTgDmSBClH45QCzbx4AaABAg,The  fact  that  this  was  totally  no  homo  kind  of  makes  me  sad
TXakJYHe9uQ,Ugzp3TYte5PWfhXj7Zd4AaABAg,I  love  the  harmony  if  your  voices        I'm  a  new  follower  right  now    
TXakJYHe9uQ,UgwaPGcAT1sVyHGhwad4AaABAg,THIS  WAS  PERFECT    
TXakJYHe9uQ,Ugzj25RVPxJ9JBTM9dF4AaABAg,Wow    love  the  ending  2  42
TXakJYHe9uQ,UgxbLR0dEO-35B8u_O94AaABAg,I  need  this  on  spotify  
TXakJYHe9uQ,Ugw50fEXHuDon-VilZJ4AaABAg,Oh  lord  
TXakJYHe9uQ,Ugw_Iu4aLaEXhxdQSTN4AaABAg,We  want  more  covers  
TXakJYHe9uQ,UgzioJSPabboBKD9k2N4AaABAg,Love  this  cover      u  guys  are  so  cute  and  i  love  the  ending  2  44              Look  like  are  couple
TXakJYHe9uQ,UgwAnYqmjn9yCXbTfMV4AaABAg,I  m  in  love  with  this  cover
TXakJYHe9uQ,UgwDs3SIJbXgS9wquD14AaABAg,Wait  for  so  long  that  launch  new  song    Love  you  guys  and  your  song    Hope  can  listen  more  in  the  future
TXakJYHe9uQ,UgwF2qNqp90kDadbWqB4AaABAg,Fantastic  performance    I  love  how  the  song  starts    Would  you  mind  sharing  the  tab    
TXakJYHe9uQ,UgxAFvnbUhzKJItqs3x4AaABAg,This  cover  is  so  beautiful  
