Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Oh my god! This cover is BEAUTIFUL! My favorite cover by far! I’m surprised this isn’t viral! I’m subbed now!,UgzwTTa47hKDjauFdzZ4AaABAg,2,37,Oh my god! This cover is BEAUTIFUL! My favorite cover by far! I’m surprised this isn’t viral! I’m subbed now!,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,"Kev and Nick: “MIIIINE....”


me : *hits subscribe button so hard that  **-phone screen breaks-*",UgyA_rTyfTn_II4X68Z4AaABAg,0,5,"Kev and Nick: “MIIIINE....”


me : *hits subscribe button so hard that  **-phone screen breaks-*",en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,*give me some holy water for my ears please ;-;*,UgysFjna__dy2GVflBd4AaABAg,0,6,*give me some holy water for my ears please ;-;*,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,best cover,UgxCXKfi6Mc8ApX4TT94AaABAg,0,1,best cover,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,"Immediately subbed, it's amazing and much better than the original!",UgzOo_Icx_y2WqOkdVV4AaABAg,1,12,"Immediately subbed, it's amazing and much better than the original!",en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Really good!!!,Ugz4TkL8D9NuwtDJyap4AaABAg,0,1,Really good!!!,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,The fact that this was totally no homo kind of makes me sad,UgwTgDmSBClH45QCzbx4AaABAg,1,2,The fact that this was totally no homo kind of makes me sad,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,I love the harmony if your voices!!! I'm a new follower right now! 💖,Ugzp3TYte5PWfhXj7Zd4AaABAg,0,1,I love the harmony if your voices!!! I'm a new follower right now! ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,THIS WAS PERFECT!!,UgwaPGcAT1sVyHGhwad4AaABAg,0,0,THIS WAS PERFECT!!,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Wow 👏👏👏👏👏👏 love the ending 2:42,Ugzj25RVPxJ9JBTM9dF4AaABAg,0,0,Wow  love the ending 2:42,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,I need this on spotify 🥰,UgxbLR0dEO-35B8u_O94AaABAg,0,0,I need this on spotify ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,Oh lord 😭🙌,Ugw50fEXHuDon-VilZJ4AaABAg,0,1,Oh lord ,en
Kev & Nick,Mine - Bazzi (Kev &amp; Nick cover),"Hello and welcome to our channel! We are two swedish guys who like to sing. We will be posting more music related videos, so make sure to subscribe! Spotify ...",TXakJYHe9uQ,We want more covers 😭,Ugw_Iu4aLaEXhxdQSTN4AaABAg,0,0,We want more covers ,en
